frame	crossing	top_r1	split_r1
4245	16	E2	FF
4246	16	E2	FF
4247	16	E2	FF
4248	16	E2	FF
4249	16	E2	FF
4250	16	E2	FF
4251	16	E2	FF
4252	16	E2	FF
4253	16	E2	FF
4254	16	E2	FF
4255	16	E2	FF
4256	16	E2	FF
4257	16	E2	FF
4258	16	E2	FF
4259	16	E2	FF
4260	16	E2	FF
4261	16	E2	FF
4262	16	E2	FF
4263	16	E2	FF
4264	16	E2	FF
4265	16	E2	FF
4266	16	E2	FF
4267	16	E2	FF
4268	16	E2	FF
4269	16	E2	FF
4270	16	E2	FF
4271	16	E2	FF
4272	16	E2	FF
4273	16	E2	FF
4274	16	E2	FF
4275	16	E2	FF
4276	16	E2	FF
4277	16	E2	FF
4278	16	E2	FF
4279	16	E2	FF
4280	16	E2	FF
4281	16	E2	FF
4282	16	E2	FF
4283	16	E2	FF
4284	16	E2	FF
4285	16	E2	FF
4286	16	E2	FF
4287	16	E2	FF
4288	16	E2	FF
4289	16	E2	FF
4290	16	E2	FF
4291	16	E2	FF
4292	16	E2	FF
4293	16	E2	FF
4294	16	E2	FF
4295	16	E2	FF
4296	16	E2	FF
4297	16	E2	FF
4298	16	E2	FF
4299	16	E2	FF
4300	16	E2	FF
4301	16	E2	FF
4302	16	E2	FF
4303	16	E2	FF
4304	16	E2	FF
4305	16	E2	FF
4306	16	E2	FF
4307	16	E2	FF
4308	16	E2	FF
4309	16	E2	FF
4310	16	E2	FF
4311	16	E2	FF
4312	16	E2	FF
4313	16	E2	FF
4314	16	E2	FF
4315	16	E2	FF
4316	16	E2	FF
4317	16	E2	FF
4318	16	E2	FF
4319	16	E2	FF
4320	16	E2	FF
4321	16	E2	FF
4322	16	E2	FF
4323	16	E2	FF
4324	16	E2	FF
4325	16	E2	FF
4326	16	E2	FF
4327	16	E2	FF
4328	16	E2	FF
4329	16	E2	FF
4330	16	E2	FF
4331	16	E2	FF
4332	16	E2	FF
4333	16	E2	FF
4334	16	E2	FF
4335	16	E2	FF
4336	16	E2	FF
4337	16	E2	FF
4338	16	E2	FF
4339	16	E2	FF
4340	16	E2	FF
4341	16	E2	FF
4342	16	E2	FF
4343	16	E2	FF
4344	16	E2	FF
4345	16	E2	FF
4346	16	E2	FF
4347	16	E2	FF
4348	16	E2	FF
4349	16	E2	FF
4350	16	E2	FF
4351	16	E2	FF
4352	16	E2	FF
4353	16	E2	FF
4354	16	E2	FF
