frame	crossing	r0	top_r1	split_r1	r5
7026	0	FC	E2	14	14
7027	0	FC	E2	14	14
7028	0	FC	E2	14	14
7029	0	FC	E2	14	14
7030	0	FC	E2	14	14
7031	0	FC	E2	14	14
7032	0	FC	E2	14	14
7033	0	FC	E2	14	14
7034	0	FC	E2	14	14
7035	0	FC	E2	14	14
7036	0	FC	E2	14	14
7037	0	FC	E2	14	14
7038	0	FC	E2	14	14
7039	0	FC	E2	14	14
7040	0	FC	E2	14	14
7041	0	FC	E2	14	14
7042	0	FC	E2	14	14
7043	0	FC	E2	14	14
7044	0	FC	E2	14	14
7045	0	FC	E2	14	14
7046	0	FC	E2	14	14
7047	0	FC	E2	14	14
7048	0	FC	E2	14	14
7049	0	FC	E2	14	14
7050	0	FC	E2	14	14
7051	0	FC	E2	14	14
7052	0	FC	E2	14	14
7053	0	FC	E2	14	14
7054	0	FC	E2	14	14
7055	0	FC	E2	14	14
7056	0	FC	E2	14	14
7057	0	FC	E2	14	14
7058	0	FC	E2	14	14
7059	0	FC	E2	14	14
7060	0	FC	E2	14	14
7061	0	FC	E2	14	14
7062	0	FC	E2	14	14
7063	0	FC	E2	14	14
7064	0	FC	E2	14	14
7065	0	FC	E2	14	14
7066	0	FC	E2	14	14
7067	0	FC	E2	14	14
7068	0	FC	E2	14	14
7069	0	FC	E2	14	14
7070	0	FC	E2	14	14
7071	0	FC	E2	14	14
7072	0	FC	E2	14	14
7073	0	FC	E2	14	14
7074	0	FC	E2	14	14
7075	0	FC	E2	14	14
7076	0	FC	E2	14	14
7077	0	FC	E2	14	14
7078	0	FC	E2	14	14
7079	0	FC	E2	14	14
7080	0	FC	E2	14	14
7081	0	FC	E2	14	14
7082	0	FC	E2	14	14
7083	0	FC	E2	14	14
7084	0	FC	E2	14	14
7085	0	FC	E2	14	14
7086	0	FC	E2	14	14
7087	0	FC	E2	14	14
7088	0	FC	E2	14	14
7089	0	FC	E2	14	14
7090	0	FC	E2	14	14
7091	0	FC	E2	14	14
7092	0	FC	E2	14	14
7093	0	FC	E2	14	14
7094	0	FC	E2	14	14
7095	0	FC	E2	14	14
7096	0	FC	E2	14	14
7097	0	FC	E2	14	14
7098	0	FC	E2	14	14
7099	0	FC	E2	14	14
7100	0	FC	E2	14	14
7101	0	FC	E2	14	14
7102	0	FC	E2	14	14
7103	0	FC	E2	14	14
7104	0	FC	E2	14	14
7105	0	FC	E2	14	14
7106	0	FC	E2	14	14
7107	0	FC	E2	14	14
7108	0	FC	E2	14	14
7109	0	FC	E2	14	14
7110	0	FC	E2	14	14
7111	0	FC	E2	14	14
7112	0	FC	E2	14	14
7113	0	FC	E2	14	14
7114	0	FC	E2	14	14
7115	0	FC	E2	14	14
7116	0	FC	E2	14	14
7117	0	FC	E2	14	14
7118	0	FC	E2	14	14
7119	0	FC	E2	14	14
7120	0	FC	E2	14	14
7121	0	FC	E2	14	14
7122	0	FC	E2	14	14
